generation,best_mse,avg_mse
1,0.043011279212009215,0.04425380399836949
2,0.0424958388839769,0.04366771551959554
3,0.04244621050402496,0.044786475287796494
4,0.042489361147123546,0.04376211787329356
5,0.042836809565267336,0.04384473018817321
